DATE,UNRATE,FEDFUNDS,T10Y3MM,HOUST,PERMIT,INDPRO,TCU,UMCSENT,BAA10YM,USREC,ICSA
1866-04-01,,,,,,,,,,1.0,
1866-05-01,,,,,,,,,,1.0,
1866-06-01,,,,,,,,,,1.0,
1866-07-01,,,,,,,,,,1.0,
1866-08-01,,,,,,,,,,1.0,
1866-09-01,,,,,,,,,,1.0,
1866-10-01,,,,,,,,,,1.0,
1866-11-01,,,,,,,,,,1.0,
1866-12-01,,,,,,,,,,1.0,
1867-01-01,,,,,,,,,,1.0,
1867-02-01,,,,,,,,,,1.0,
1867-03-01,,,,,,,,,,1.0,
1867-04-01,,,,,,,,,,1.0,
1867-05-01,,,,,,,,,,1.0,
1867-06-01,,,,,,,,,,1.0,
1867-07-01,,,,,,,,,,1.0,
1867-08-01,,,,,,,,,,1.0,
1867-09-01,,,,,,,,,,1.0,
1867-10-01,,,,,,,,,,1.0,
1867-11-01,,,,,,,,,,1.0,
1867-12-01,,,,,,,,,,1.0,
1868-01-01,,,,,,,,,,0.0,
1868-02-01,,,,,,,,,,0.0,
1868-03-01,,,,,,,,,,0.0,
1868-04-01,,,,,,,,,,0.0,
1868-05-01,,,,,,,,,,0.0,
1868-06-01,,,,,,,,,,0.0,
1868-07-01,,,,,,,,,,0.0,
1868-08-01,,,,,,,,,,0.0,
1868-09-01,,,,,,,,,,0.0,
1868-10-01,,,,,,,,,,0.0,
1868-11-01,,,,,,,,,,0.0,
1868-12-01,,,,,,,,,,0.0,
1869-01-01,,,,,,,,,,0.0,
1869-02-01,,,,,,,,,,0.0,
1869-03-01,,,,,,,,,,0.0,
1869-04-01,,,,,,,,,,0.0,
1869-05-01,,,,,,,,,,0.0,
1869-06-01,,,,,,,,,,0.0,
1869-07-01,,,,,,,,,,1.0,
1869-08-01,,,,,,,,,,1.0,
1869-09-01,,,,,,,,,,1.0,
1869-10-01,,,,,,,,,,1.0,
1869-11-01,,,,,,,,,,1.0,
1869-12-01,,,,,,,,,,1.0,
1870-01-01,,,,,,,,,,1.0,
1870-02-01,,,,,,,,,,1.0,
1870-03-01,,,,,,,,,,1.0,
1870-04-01,,,,,,,,,,1.0,
1870-05-01,,,,,,,,,,1.0,
1870-06-01,,,,,,,,,,1.0,
1870-07-01,,,,,,,,,,1.0,
1870-08-01,,,,,,,,,,1.0,
1870-09-01,,,,,,,,,,1.0,
1870-10-01,,,,,,,,,,1.0,
1870-11-01,,,,,,,,,,1.0,
1870-12-01,,,,,,,,,,1.0,
1871-01-01,,,,,,,,,,0.0,
1871-02-01,,,,,,,,,,0.0,
1871-03-01,,,,,,,,,,0.0,
1871-04-01,,,,,,,,,,0.0,
1871-05-01,,,,,,,,,,0.0,
1871-06-01,,,,,,,,,,0.0,
1871-07-01,,,,,,,,,,0.0,
1871-08-01,,,,,,,,,,0.0,
1871-09-01,,,,,,,,,,0.0,
1871-10-01,,,,,,,,,,0.0,
1871-11-01,,,,,,,,,,0.0,
1871-12-01,,,,,,,,,,0.0,
1872-01-01,,,,,,,,,,0.0,
1872-02-01,,,,,,,,,,0.0,
1872-03-01,,,,,,,,,,0.0,
1872-04-01,,,,,,,,,,0.0,
1872-05-01,,,,,,,,,,0.0,
1872-06-01,,,,,,,,,,0.0,
1872-07-01,,,,,,,,,,0.0,
1872-08-01,,,,,,,,,,0.0,
1872-09-01,,,,,,,,,,0.0,
1872-10-01,,,,,,,,,,0.0,
1872-11-01,,,,,,,,,,0.0,
1872-12-01,,,,,,,,,,0.0,
1873-01-01,,,,,,,,,,0.0,
1873-02-01,,,,,,,,,,0.0,
1873-03-01,,,,,,,,,,0.0,
1873-04-01,,,,,,,,,,0.0,
1873-05-01,,,,,,,,,,0.0,
1873-06-01,,,,,,,,,,0.0,
1873-07-01,,,,,,,,,,0.0,
1873-08-01,,,,,,,,,,0.0,
1873-09-01,,,,,,,,,,0.0,
1873-10-01,,,,,,,,,,0.0,
1873-11-01,,,,,,,,,,1.0,
1873-12-01,,,,,,,,,,1.0,
1874-01-01,,,,,,,,,,1.0,
1874-02-01,,,,,,,,,,1.0,
1874-03-01,,,,,,,,,,1.0,
1874-04-01,,,,,,,,,,1.0,
1874-05-01,,,,,,,,,,1.0,
1874-06-01,,,,,,,,,,1.0,
1874-07-01,,,,,,,,,,1.0,
1874-08-01,,,,,,,,,,1.0,
1874-09-01,,,,,,,,,,1.0,
1874-10-01,,,,,,,,,,1.0,
1874-11-01,,,,,,,,,,1.0,
1874-12-01,,,,,,,,,,1.0,
1875-01-01,,,,,,,,,,1.0,
1875-02-01,,,,,,,,,,1.0,
1875-03-01,,,,,,,,,,1.0,
1875-04-01,,,,,,,,,,1.0,
1875-05-01,,,,,,,,,,1.0,
1875-06-01,,,,,,,,,,1.0,
1875-07-01,,,,,,,,,,1.0,
1875-08-01,,,,,,,,,,1.0,
1875-09-01,,,,,,,,,,1.0,
1875-10-01,,,,,,,,,,1.0,
1875-11-01,,,,,,,,,,1.0,
1875-12-01,,,,,,,,,,1.0,
1876-01-01,,,,,,,,,,1.0,
1876-02-01,,,,,,,,,,1.0,
1876-03-01,,,,,,,,,,1.0,
1876-04-01,,,,,,,,,,1.0,
1876-05-01,,,,,,,,,,1.0,
1876-06-01,,,,,,,,,,1.0,
1876-07-01,,,,,,,,,,1.0,
1876-08-01,,,,,,,,,,1.0,
1876-09-01,,,,,,,,,,1.0,
1876-10-01,,,,,,,,,,1.0,
1876-11-01,,,,,,,,,,1.0,
1876-12-01,,,,,,,,,,1.0,
1877-01-01,,,,,,,,,,1.0,
1877-02-01,,,,,,,,,,1.0,
1877-03-01,,,,,,,,,,1.0,
1877-04-01,,,,,,,,,,1.0,
1877-05-01,,,,,,,,,,1.0,
1877-06-01,,,,,,,,,,1.0,
1877-07-01,,,,,,,,,,1.0,
1877-08-01,,,,,,,,,,1.0,
1877-09-01,,,,,,,,,,1.0,
1877-10-01,,,,,,,,,,1.0,
1877-11-01,,,,,,,,,,1.0,
1877-12-01,,,,,,,,,,1.0,
1878-01-01,,,,,,,,,,1.0,
1878-02-01,,,,,,,,,,1.0,
1878-03-01,,,,,,,,,,1.0,
1878-04-01,,,,,,,,,,1.0,
1878-05-01,,,,,,,,,,1.0,
1878-06-01,,,,,,,,,,1.0,
1878-07-01,,,,,,,,,,1.0,
1878-08-01,,,,,,,,,,1.0,
1878-09-01,,,,,,,,,,1.0,
1878-10-01,,,,,,,,,,1.0,
1878-11-01,,,,,,,,,,1.0,
1878-12-01,,,,,,,,,,1.0,
1879-01-01,,,,,,,,,,1.0,
1879-02-01,,,,,,,,,,1.0,
1879-03-01,,,,,,,,,,1.0,
1879-04-01,,,,,,,,,,0.0,
1879-05-01,,,,,,,,,,0.0,
1879-06-01,,,,,,,,,,0.0,
1879-07-01,,,,,,,,,,0.0,
1879-08-01,,,,,,,,,,0.0,
1879-09-01,,,,,,,,,,0.0,
1879-10-01,,,,,,,,,,0.0,
1879-11-01,,,,,,,,,,0.0,
1879-12-01,,,,,,,,,,0.0,
1880-01-01,,,,,,,,,,0.0,
1880-02-01,,,,,,,,,,0.0,
1880-03-01,,,,,,,,,,0.0,
1880-04-01,,,,,,,,,,0.0,
1880-05-01,,,,,,,,,,0.0,
1880-06-01,,,,,,,,,,0.0,
1880-07-01,,,,,,,,,,0.0,
1880-08-01,,,,,,,,,,0.0,
1880-09-01,,,,,,,,,,0.0,
1880-10-01,,,,,,,,,,0.0,
1880-11-01,,,,,,,,,,0.0,
1880-12-01,,,,,,,,,,0.0,
1881-01-01,,,,,,,,,,0.0,
1881-02-01,,,,,,,,,,0.0,
1881-03-01,,,,,,,,,,0.0,
1881-04-01,,,,,,,,,,0.0,
1881-05-01,,,,,,,,,,0.0,
1881-06-01,,,,,,,,,,0.0,
1881-07-01,,,,,,,,,,0.0,
1881-08-01,,,,,,,,,,0.0,
1881-09-01,,,,,,,,,,0.0,
1881-10-01,,,,,,,,,,0.0,
1881-11-01,,,,,,,,,,0.0,
1881-12-01,,,,,,,,,,0.0,
1882-01-01,,,,,,,,,,0.0,
1882-02-01,,,,,,,,,,0.0,
1882-03-01,,,,,,,,,,0.0,
1882-04-01,,,,,,,,,,1.0,
1882-05-01,,,,,,,,,,1.0,
1882-06-01,,,,,,,,,,1.0,
1882-07-01,,,,,,,,,,1.0,
1882-08-01,,,,,,,,,,1.0,
1882-09-01,,,,,,,,,,1.0,
1882-10-01,,,,,,,,,,1.0,
1882-11-01,,,,,,,,,,1.0,
1882-12-01,,,,,,,,,,1.0,
1883-01-01,,,,,,,,,,1.0,
1883-02-01,,,,,,,,,,1.0,
1883-03-01,,,,,,,,,,1.0,
1883-04-01,,,,,,,,,,1.0,
1883-05-01,,,,,,,,,,1.0,
1883-06-01,,,,,,,,,,1.0,
1883-07-01,,,,,,,,,,1.0,
1883-08-01,,,,,,,,,,1.0,
1883-09-01,,,,,,,,,,1.0,
1883-10-01,,,,,,,,,,1.0,
1883-11-01,,,,,,,,,,1.0,
1883-12-01,,,,,,,,,,1.0,
1884-01-01,,,,,,,,,,1.0,
1884-02-01,,,,,,,,,,1.0,
1884-03-01,,,,,,,,,,1.0,
1884-04-01,,,,,,,,,,1.0,
1884-05-01,,,,,,,,,,1.0,
1884-06-01,,,,,,,,,,1.0,
1884-07-01,,,,,,,,,,1.0,
1884-08-01,,,,,,,,,,1.0,
1884-09-01,,,,,,,,,,1.0,
1884-10-01,,,,,,,,,,1.0,
1884-11-01,,,,,,,,,,1.0,
1884-12-01,,,,,,,,,,1.0,
1885-01-01,,,,,,,,,,1.0,
1885-02-01,,,,,,,,,,1.0,
1885-03-01,,,,,,,,,,1.0,
1885-04-01,,,,,,,,,,1.0,
1885-05-01,,,,,,,,,,1.0,
1885-06-01,,,,,,,,,,0.0,
1885-07-01,,,,,,,,,,0.0,
1885-08-01,,,,,,,,,,0.0,
1885-09-01,,,,,,,,,,0.0,
1885-10-01,,,,,,,,,,0.0,
1885-11-01,,,,,,,,,,0.0,
1885-12-01,,,,,,,,,,0.0,
1886-01-01,,,,,,,,,,0.0,
1886-02-01,,,,,,,,,,0.0,
1886-03-01,,,,,,,,,,0.0,
1886-04-01,,,,,,,,,,0.0,
1886-05-01,,,,,,,,,,0.0,
1886-06-01,,,,,,,,,,0.0,
1886-07-01,,,,,,,,,,0.0,
1886-08-01,,,,,,,,,,0.0,
1886-09-01,,,,,,,,,,0.0,
1886-10-01,,,,,,,,,,0.0,
1886-11-01,,,,,,,,,,0.0,
1886-12-01,,,,,,,,,,0.0,
1887-01-01,,,,,,,,,,0.0,
1887-02-01,,,,,,,,,,0.0,
1887-03-01,,,,,,,,,,0.0,
1887-04-01,,,,,,,,,,1.0,
1887-05-01,,,,,,,,,,1.0,
1887-06-01,,,,,,,,,,1.0,
1887-07-01,,,,,,,,,,1.0,
1887-08-01,,,,,,,,,,1.0,
1887-09-01,,,,,,,,,,1.0,
1887-10-01,,,,,,,,,,1.0,
1887-11-01,,,,,,,,,,1.0,
1887-12-01,,,,,,,,,,1.0,
1888-01-01,,,,,,,,,,1.0,
1888-02-01,,,,,,,,,,1.0,
1888-03-01,,,,,,,,,,1.0,
1888-04-01,,,,,,,,,,1.0,
1888-05-01,,,,,,,,,,0.0,
1888-06-01,,,,,,,,,,0.0,
1888-07-01,,,,,,,,,,0.0,
1888-08-01,,,,,,,,,,0.0,
1888-09-01,,,,,,,,,,0.0,
1888-10-01,,,,,,,,,,0.0,
1888-11-01,,,,,,,,,,0.0,
1888-12-01,,,,,,,,,,0.0,
1889-01-01,,,,,,,,,,0.0,
1889-02-01,,,,,,,,,,0.0,
1889-03-01,,,,,,,,,,0.0,
1889-04-01,,,,,,,,,,0.0,
1889-05-01,,,,,,,,,,0.0,
1889-06-01,,,,,,,,,,0.0,
1889-07-01,,,,,,,,,,0.0,
1889-08-01,,,,,,,,,,0.0,
1889-09-01,,,,,,,,,,0.0,
1889-10-01,,,,,,,,,,0.0,
1889-11-01,,,,,,,,,,0.0,
1889-12-01,,,,,,,,,,0.0,
1890-01-01,,,,,,,,,,0.0,
1890-02-01,,,,,,,,,,0.0,
1890-03-01,,,,,,,,,,0.0,
1890-04-01,,,,,,,,,,0.0,
1890-05-01,,,,,,,,,,0.0,
1890-06-01,,,,,,,,,,0.0,
1890-07-01,,,,,,,,,,0.0,
1890-08-01,,,,,,,,,,1.0,
1890-09-01,,,,,,,,,,1.0,
1890-10-01,,,,,,,,,,1.0,
1890-11-01,,,,,,,,,,1.0,
1890-12-01,,,,,,,,,,1.0,
1891-01-01,,,,,,,,,,1.0,
1891-02-01,,,,,,,,,,1.0,
1891-03-01,,,,,,,,,,1.0,
1891-04-01,,,,,,,,,,1.0,
1891-05-01,,,,,,,,,,1.0,
1891-06-01,,,,,,,,,,0.0,
1891-07-01,,,,,,,,,,0.0,
1891-08-01,,,,,,,,,,0.0,
1891-09-01,,,,,,,,,,0.0,
1891-10-01,,,,,,,,,,0.0,
1891-11-01,,,,,,,,,,0.0,
1891-12-01,,,,,,,,,,0.0,
1892-01-01,,,,,,,,,,0.0,
1892-02-01,,,,,,,,,,0.0,
1892-03-01,,,,,,,,,,0.0,
1892-04-01,,,,,,,,,,0.0,
1892-05-01,,,,,,,,,,0.0,
1892-06-01,,,,,,,,,,0.0,
1892-07-01,,,,,,,,,,0.0,
1892-08-01,,,,,,,,,,0.0,
1892-09-01,,,,,,,,,,0.0,
1892-10-01,,,,,,,,,,0.0,
1892-11-01,,,,,,,,,,0.0,
1892-12-01,,,,,,,,,,0.0,
1893-01-01,,,,,,,,,,0.0,
1893-02-01,,,,,,,,,,1.0,
1893-03-01,,,,,,,,,,1.0,
1893-04-01,,,,,,,,,,1.0,
1893-05-01,,,,,,,,,,1.0,
1893-06-01,,,,,,,,,,1.0,
1893-07-01,,,,,,,,,,1.0,
1893-08-01,,,,,,,,,,1.0,
1893-09-01,,,,,,,,,,1.0,
1893-10-01,,,,,,,,,,1.0,
1893-11-01,,,,,,,,,,1.0,
1893-12-01,,,,,,,,,,1.0,
1894-01-01,,,,,,,,,,1.0,
1894-02-01,,,,,,,,,,1.0,
1894-03-01,,,,,,,,,,1.0,
1894-04-01,,,,,,,,,,1.0,
1894-05-01,,,,,,,,,,1.0,
1894-06-01,,,,,,,,,,1.0,
1894-07-01,,,,,,,,,,0.0,
1894-08-01,,,,,,,,,,0.0,
1894-09-01,,,,,,,,,,0.0,
1894-10-01,,,,,,,,,,0.0,
1894-11-01,,,,,,,,,,0.0,
1894-12-01,,,,,,,,,,0.0,
1895-01-01,,,,,,,,,,0.0,
1895-02-01,,,,,,,,,,0.0,
1895-03-01,,,,,,,,,,0.0,
1895-04-01,,,,,,,,,,0.0,
1895-05-01,,,,,,,,,,0.0,
1895-06-01,,,,,,,,,,0.0,
1895-07-01,,,,,,,,,,0.0,
1895-08-01,,,,,,,,,,0.0,
1895-09-01,,,,,,,,,,0.0,
1895-10-01,,,,,,,,,,0.0,
1895-11-01,,,,,,,,,,0.0,
1895-12-01,,,,,,,,,,0.0,
1896-01-01,,,,,,,,,,1.0,
1896-02-01,,,,,,,,,,1.0,
1896-03-01,,,,,,,,,,1.0,
1896-04-01,,,,,,,,,,1.0,
1896-05-01,,,,,,,,,,1.0,
1896-06-01,,,,,,,,,,1.0,
1896-07-01,,,,,,,,,,1.0,
1896-08-01,,,,,,,,,,1.0,
1896-09-01,,,,,,,,,,1.0,
1896-10-01,,,,,,,,,,1.0,
1896-11-01,,,,,,,,,,1.0,
1896-12-01,,,,,,,,,,1.0,
1897-01-01,,,,,,,,,,1.0,
1897-02-01,,,,,,,,,,1.0,
1897-03-01,,,,,,,,,,1.0,
1897-04-01,,,,,,,,,,1.0,
1897-05-01,,,,,,,,,,1.0,
1897-06-01,,,,,,,,,,1.0,
1897-07-01,,,,,,,,,,0.0,
1897-08-01,,,,,,,,,,0.0,
1897-09-01,,,,,,,,,,0.0,
1897-10-01,,,,,,,,,,0.0,
1897-11-01,,,,,,,,,,0.0,
1897-12-01,,,,,,,,,,0.0,
1898-01-01,,,,,,,,,,0.0,
1898-02-01,,,,,,,,,,0.0,
1898-03-01,,,,,,,,,,0.0,
1898-04-01,,,,,,,,,,0.0,
1898-05-01,,,,,,,,,,0.0,
1898-06-01,,,,,,,,,,0.0,
1898-07-01,,,,,,,,,,0.0,
1898-08-01,,,,,,,,,,0.0,
1898-09-01,,,,,,,,,,0.0,
1898-10-01,,,,,,,,,,0.0,
1898-11-01,,,,,,,,,,0.0,
1898-12-01,,,,,,,,,,0.0,
1899-01-01,,,,,,,,,,0.0,
1899-02-01,,,,,,,,,,0.0,
1899-03-01,,,,,,,,,,0.0,
1899-04-01,,,,,,,,,,0.0,
1899-05-01,,,,,,,,,,0.0,
1899-06-01,,,,,,,,,,0.0,
1899-07-01,,,,,,,,,,1.0,
1899-08-01,,,,,,,,,,1.0,
1899-09-01,,,,,,,,,,1.0,
1899-10-01,,,,,,,,,,1.0,
1899-11-01,,,,,,,,,,1.0,
1899-12-01,,,,,,,,,,1.0,
1900-01-01,,,,,,,,,,1.0,
1900-02-01,,,,,,,,,,1.0,
1900-03-01,,,,,,,,,,1.0,
1900-04-01,,,,,,,,,,1.0,
1900-05-01,,,,,,,,,,1.0,
1900-06-01,,,,,,,,,,1.0,
1900-07-01,,,,,,,,,,1.0,
1900-08-01,,,,,,,,,,1.0,
1900-09-01,,,,,,,,,,1.0,
1900-10-01,,,,,,,,,,1.0,
1900-11-01,,,,,,,,,,1.0,
1900-12-01,,,,,,,,,,1.0,
1901-01-01,,,,,,,,,,0.0,
1901-02-01,,,,,,,,,,0.0,
1901-03-01,,,,,,,,,,0.0,
1901-04-01,,,,,,,,,,0.0,
1901-05-01,,,,,,,,,,0.0,
1901-06-01,,,,,,,,,,0.0,
1901-07-01,,,,,,,,,,0.0,
1901-08-01,,,,,,,,,,0.0,
1901-09-01,,,,,,,,,,0.0,
1901-10-01,,,,,,,,,,0.0,
1901-11-01,,,,,,,,,,0.0,
1901-12-01,,,,,,,,,,0.0,
1902-01-01,,,,,,,,,,0.0,
1902-02-01,,,,,,,,,,0.0,
1902-03-01,,,,,,,,,,0.0,
1902-04-01,,,,,,,,,,0.0,
1902-05-01,,,,,,,,,,0.0,
1902-06-01,,,,,,,,,,0.0,
1902-07-01,,,,,,,,,,0.0,
1902-08-01,,,,,,,,,,0.0,
1902-09-01,,,,,,,,,,0.0,
1902-10-01,,,,,,,,,,1.0,
1902-11-01,,,,,,,,,,1.0,
1902-12-01,,,,,,,,,,1.0,
1903-01-01,,,,,,,,,,1.0,
1903-02-01,,,,,,,,,,1.0,
1903-03-01,,,,,,,,,,1.0,
1903-04-01,,,,,,,,,,1.0,
1903-05-01,,,,,,,,,,1.0,
1903-06-01,,,,,,,,,,1.0,
1903-07-01,,,,,,,,,,1.0,
1903-08-01,,,,,,,,,,1.0,
1903-09-01,,,,,,,,,,1.0,
1903-10-01,,,,,,,,,,1.0,
1903-11-01,,,,,,,,,,1.0,
1903-12-01,,,,,,,,,,1.0,
1904-01-01,,,,,,,,,,1.0,
1904-02-01,,,,,,,,,,1.0,
1904-03-01,,,,,,,,,,1.0,
1904-04-01,,,,,,,,,,1.0,
1904-05-01,,,,,,,,,,1.0,
1904-06-01,,,,,,,,,,1.0,
1904-07-01,,,,,,,,,,1.0,
1904-08-01,,,,,,,,,,1.0,
1904-09-01,,,,,,,,,,0.0,
1904-10-01,,,,,,,,,,0.0,
1904-11-01,,,,,,,,,,0.0,
1904-12-01,,,,,,,,,,0.0,
1905-01-01,,,,,,,,,,0.0,
1905-02-01,,,,,,,,,,0.0,
1905-03-01,,,,,,,,,,0.0,
1905-04-01,,,,,,,,,,0.0,
1905-05-01,,,,,,,,,,0.0,
1905-06-01,,,,,,,,,,0.0,
1905-07-01,,,,,,,,,,0.0,
1905-08-01,,,,,,,,,,0.0,
1905-09-01,,,,,,,,,,0.0,
1905-10-01,,,,,,,,,,0.0,
1905-11-01,,,,,,,,,,0.0,
1905-12-01,,,,,,,,,,0.0,
1906-01-01,,,,,,,,,,0.0,
1906-02-01,,,,,,,,,,0.0,
1906-03-01,,,,,,,,,,0.0,
1906-04-01,,,,,,,,,,0.0,
1906-05-01,,,,,,,,,,0.0,
1906-06-01,,,,,,,,,,0.0,
1906-07-01,,,,,,,,,,0.0,
1906-08-01,,,,,,,,,,0.0,
1906-09-01,,,,,,,,,,0.0,
1906-10-01,,,,,,,,,,0.0,
1906-11-01,,,,,,,,,,0.0,
1906-12-01,,,,,,,,,,0.0,
1907-01-01,,,,,,,,,,0.0,
1907-02-01,,,,,,,,,,0.0,
1907-03-01,,,,,,,,,,0.0,
1907-04-01,,,,,,,,,,0.0,
1907-05-01,,,,,,,,,,0.0,
1907-06-01,,,,,,,,,,1.0,
1907-07-01,,,,,,,,,,1.0,
1907-08-01,,,,,,,,,,1.0,
1907-09-01,,,,,,,,,,1.0,
1907-10-01,,,,,,,,,,1.0,
1907-11-01,,,,,,,,,,1.0,
1907-12-01,,,,,,,,,,1.0,
1908-01-01,,,,,,,,,,1.0,
1908-02-01,,,,,,,,,,1.0,
1908-03-01,,,,,,,,,,1.0,
1908-04-01,,,,,,,,,,1.0,
1908-05-01,,,,,,,,,,1.0,
1908-06-01,,,,,,,,,,1.0,
1908-07-01,,,,,,,,,,0.0,
1908-08-01,,,,,,,,,,0.0,
1908-09-01,,,,,,,,,,0.0,
1908-10-01,,,,,,,,,,0.0,
1908-11-01,,,,,,,,,,0.0,
1908-12-01,,,,,,,,,,0.0,
1909-01-01,,,,,,,,,,0.0,
1909-02-01,,,,,,,,,,0.0,
1909-03-01,,,,,,,,,,0.0,
1909-04-01,,,,,,,,,,0.0,
1909-05-01,,,,,,,,,,0.0,
1909-06-01,,,,,,,,,,0.0,
1909-07-01,,,,,,,,,,0.0,
1909-08-01,,,,,,,,,,0.0,
1909-09-01,,,,,,,,,,0.0,
1909-10-01,,,,,,,,,,0.0,
